Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-03-19,Detroit Red Wings,5,Florida Panthers,3,,20817,02:38:00 AM,
2016-03-19,Boston Bruins,1,Los Angeles Kings,2,,18373,02:26:00 AM,
2016-03-19,Carolina Hurricanes,2,Minnesota Wild,3,SO,19044,02:38:00 AM,
2016-03-19,Montreal Canadiens,0,Ottawa Senators,5,,19722,02:27:00 AM,
2016-03-19,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19967,02:39:00 AM,
2016-03-19,New York Rangers,1,San Jose Sharks,4,,16888,02:30:00 AM,
2016-03-19,Buffalo Sabres,1,Toronto Maple Leafs,4,,18829,02:30:00 AM,
2016-03-19,St. Louis Blues,3,Vancouver Canucks,0,,18402,02:29:00 AM,
2016-03-20,Minnesota Wild,3,Chicago Blackhawks,2,SO,22059,02:50:00 AM,
2016-03-20,Colorado Avalanche,3,Edmonton Oilers,2,,16839,02:27:00 AM,
2016-03-20,Calgary Flames,4,Montreal Canadiens,1,,21288,02:25:00 AM,
2016-03-20,Columbus Blue Jackets,1,New Jersey Devils,2,,15146,02:26:00 AM,
2016-03-20,Washington Capitals,2,Pittsburgh Penguins,6,,18656,02:41:00 AM,
2016-03-20,Arizona Coyotes,0,San Jose Sharks,3,,15756,02:29:00 AM,
2016-03-20,Anaheim Ducks,3,Winnipeg Jets,2,OT,15294,02:40:00 AM,
2016-03-21,Los Angeles Kings,2,Nashville Predators,5,,17113,02:30:00 AM,
2016-03-21,Philadelphia Flyers,4,New York Islanders,1,,14329,02:23:00 AM,
2016-03-21,Florida Panthers,2,New York Rangers,4,,18006,02:36:00 AM,
2016-03-21,Calgary Flames,2,Toronto Maple Leafs,5,,19069,02:32:00 AM,
2016-03-22,Edmonton Oilers,2,Arizona Coyotes,4,,13408,02:25:00 AM,
2016-03-22,Buffalo Sabres,3,Carolina Hurricanes,2,,12676,02:30:00 AM,
2016-03-22,Philadelphia Flyers,2,Columbus Blue Jackets,3,SO,16230,02:57:00 AM,
2016-03-22,Dallas Stars,6,Chicago Blackhawks,2,,22034,02:27:00 AM,
2016-03-22,Los Angeles Kings,1,Minnesota Wild,2,,19018,02:32:00 AM,
2016-03-22,Anaheim Ducks,3,Montreal Canadiens,4,,21288,02:28:00 AM,
2016-03-22,Washington Capitals,4,Ottawa Senators,2,,19313,02:28:00 AM,
2016-03-22,St. Louis Blues,1,San Jose Sharks,0,,15411,02:28:00 AM,
2016-03-22,Detroit Red Wings,2,Tampa Bay Lightning,6,,19092,02:29:00 AM,
2016-03-22,Vancouver Canucks,0,Winnipeg Jets,2,,15294,02:17:00 AM,
2016-03-23,Ottawa Senators,1,New York Islanders,3,,13837,02:27:00 AM,
2016-03-23,Boston Bruins,2,New York Rangers,5,,18006,02:41:00 AM,
2016-03-24,Dallas Stars,1,Arizona Coyotes,3,,11887,02:28:00 AM,
2016-03-24,Florida Panthers,4,Boston Bruins,1,,17565,02:45:00 AM,
2016-03-24,Carolina Hurricanes,3,Columbus Blue Jackets,2,,16031,02:34:00 AM,
2016-03-24,Philadelphia Flyers,4,Colorado Avalanche,2,,18087,02:28:00 AM,
2016-03-24,Montreal Canadiens,3,Detroit Red Wings,4,,20027,02:37:00 AM,
2016-03-24,Calgary Flames,2,Minnesota Wild,6,,19032,02:34:00 AM,
2016-03-24,Vancouver Canucks,2,Nashville Predators,3,SO,17113,02:35:00 AM,
2016-03-24,New Jersey Devils,3,Pittsburgh Penguins,0,,18610,02:21:00 AM,
2016-03-24,Edmonton Oilers,6,San Jose Sharks,3,,16570,02:28:00 AM,
2016-03-24,Anaheim Ducks,5,Toronto Maple Leafs,6,OT,18935,02:38:00 AM,
2016-03-24,Los Angeles Kings,1,Winnipeg Jets,4,,15294,02:23:00 AM,
2016-03-25,Washington Capitals,1,New Jersey Devils,0,OT,16514,02:27:00 AM,
2016-03-25,Vancouver Canucks,0,St. Louis Blues,4,,19580,02:23:00 AM,
2016-03-25,New York Islanders,4,Tampa Bay Lightning,7,,19092,02:37:00 AM,
2016-03-26,Philadelphia Flyers,1,Arizona Coyotes,2,,16002,02:44:00 AM,
2016-03-26,Winnipeg Jets,2,Buffalo Sabres,3,,19070,02:24:00 AM,
2016-03-26,New York Islanders,4,Carolina Hurricanes,3,OT,11636,02:29:00 AM,
2016-03-26,Chicago Blackhawks,4,Calgary Flames,1,,19289,02:23:00 AM,
2016-03-26,Minnesota Wild,4,Colorado Avalanche,0,,18007,02:31:00 AM,
2016-03-26,Pittsburgh Penguins,7,Detroit Red Wings,2,,20027,02:36:00 AM,
2016-03-26,Edmonton Oilers,4,Los Angeles Kings,6,,18230,02:32:00 AM,
2016-03-26,New York Rangers,5,Montreal Canadiens,2,,21288,02:22:00 AM,
2016-03-26,Columbus Blue Jackets,1,Nashville Predators,5,,17113,02:24:00 AM,
2016-03-26,Anaheim Ducks,4,Ottawa Senators,3,OT,18162,02:29:00 AM,
2016-03-26,Dallas Stars,4,San Jose Sharks,2,,16439,02:35:00 AM,
2016-03-26,Florida Panthers,5,Tampa Bay Lightning,2,,19092,02:28:00 AM,
2016-03-26,Boston Bruins,3,Toronto Maple Leafs,1,,19185,02:38:00 AM,
2016-03-26,St. Louis Blues,4,Washington Capitals,0,,18506,02:21:00 AM,
2016-03-27,New Jersey Devils,2,Carolina Hurricanes,3,,12792,02:23:00 AM,
2016-03-27,Pittsburgh Penguins,3,New York Rangers,2,OT,18006,02:42:00 AM,
2016-03-27,Chicago Blackhawks,3,Vancouver Canucks,2,,18570,02:26:00 AM,
2016-03-28,Calgary Flames,5,Arizona Coyotes,2,,14347,02:30:00 AM,
2016-03-28,Buffalo Sabres,2,Detroit Red Wings,3,,20027,02:30:00 AM,
2016-03-28,Anaheim Ducks,2,Edmonton Oilers,1,,16839,02:27:00 AM,
2016-03-28,Colorado Avalanche,4,Nashville Predators,3,,16443,02:34:00 AM,
2016-03-28,Winnipeg Jets,2,Philadelphia Flyers,3,OT,19100,02:36:00 AM,
2016-03-28,Los Angeles Kings,2,San Jose Sharks,5,,17066,02:29:00 AM,
2016-03-28,Toronto Maple Leafs,0,Tampa Bay Lightning,3,,19092,02:31:00 AM,
2016-03-28,Columbus Blue Jackets,1,Washington Capitals,4,,18506,02:26:00 AM,
2016-03-29,Nashville Predators,2,Dallas Stars,5,,18265,02:36:00 AM,
2016-03-29,Toronto Maple Leafs,5,Florida Panthers,2,,16724,02:25:00 AM,
2016-03-29,Chicago Blackhawks,1,Minnesota Wild,4,,19190,02:19:00 AM,
2016-03-29,Detroit Red Wings,3,Montreal Canadiens,4,,21288,02:39:00 AM,
2016-03-29,Boston Bruins,1,New Jersey Devils,2,,15486,02:27:00 AM,
2016-03-29,Carolina Hurricanes,1,New York Islanders,2,SO,13733,02:35:00 AM,
2016-03-29,Buffalo Sabres,4,Pittsburgh Penguins,5,SO,18513,02:48:00 AM,
2016-03-29,Colorado Avalanche,1,St. Louis Blues,3,,19263,02:27:00 AM,
2016-03-29,San Jose Sharks,4,Vancouver Canucks,1,,18315,02:30:00 AM,
2016-03-30,Calgary Flames,3,Anaheim Ducks,8,,16004,02:32:00 AM,
2016-03-30,Washington Capitals,1,Philadelphia Flyers,2,SO,19850,02:50:00 AM,
2016-03-30,Ottawa Senators,2,Winnipeg Jets,1,,15294,02:18:00 AM,
2016-03-31,Toronto Maple Leafs,1,Buffalo Sabres,4,,18873,02:40:00 AM,
2016-03-31,New York Rangers,3,Carolina Hurricanes,4,,16336,02:31:00 AM,
2016-03-31,Arizona Coyotes,1,Dallas Stars,4,,18532,02:28:00 AM,
2016-03-31,New Jersey Devils,2,Florida Panthers,3,,15803,02:34:00 AM,
2016-03-31,Calgary Flames,0,Los Angeles Kings,3,,18417,02:21:00 AM,
2016-03-31,Ottawa Senators,3,Minnesota Wild,2,,19032,02:20:00 AM,
2016-03-31,Columbus Blue Jackets,3,New York Islanders,4,,13857,02:30:00 AM,
2016-03-31,Nashville Predators,2,Pittsburgh Penguins,5,,18560,02:26:00 AM,
2016-03-31,Vancouver Canucks,4,San Jose Sharks,2,,15689,02:28:00 AM,
2016-03-31,Montreal Canadiens,3,Tampa Bay Lightning,0,,19092,02:29:00 AM,
2016-04-01,Vancouver Canucks,3,Anaheim Ducks,2,,16331,02:29:00 AM,
2016-04-01,Washington Capitals,4,Colorado Avalanche,2,,18049,02:24:00 AM,
2016-04-01,Minnesota Wild,2,Detroit Red Wings,3,,20027,02:25:00 AM,
2016-04-01,Boston Bruins,6,St. Louis Blues,5,,19202,02:40:00 AM,
2016-04-01,Chicago Blackhawks,5,Winnipeg Jets,4,OT,15294,02:38:00 AM,
2016-04-02,Washington Capitals,0,Arizona Coyotes,3,,17125,02:18:00 AM,
2016-04-02,Columbus Blue Jackets,5,Carolina Hurricanes,1,,11542,02:26:00 AM,
2016-04-02,Calgary Flames,5,Edmonton Oilers,0,,16839,02:25:00 AM,
2016-04-02,Montreal Canadiens,3,Florida Panthers,4,,17427,02:38:00 AM,
2016-04-02,Dallas Stars,3,Los Angeles Kings,2,,18230,02:52:00 AM,
2016-04-02,San Jose Sharks,3,Nashville Predators,2,SO,17113,02:40:00 AM,
2016-04-02,Pittsburgh Penguins,5,New York Islanders,0,,15795,02:36:00 AM,
2016-04-02,Buffalo Sabres,4,New York Rangers,3,,18006,02:31:00 AM,
2016-04-02,Ottawa Senators,2,Philadelphia Flyers,3,,19578,02:23:00 AM,
2016-04-02,New Jersey Devils,1,Tampa Bay Lightning,3,,19092,02:35:00 AM,
2016-04-02,Detroit Red Wings,3,Toronto Maple Leafs,2,,19371,02:30:00 AM,
2016-04-03,Dallas Stars,1,Anaheim Ducks,3,,16585,02:24:00 AM,
2016-04-03,Boston Bruins,4,Chicago Blackhawks,6,,22156,02:31:00 AM,
2016-04-03,St. Louis Blues,5,Colorado Avalanche,1,,15485,02:34:00 AM,
2016-04-03,Philadelphia Flyers,2,Pittsburgh Penguins,6,,18673,02:37:00 AM,
2016-04-03,Minnesota Wild,1,Winnipeg Jets,5,,15294,02:25:00 AM,
2016-04-04,New York Rangers,4,Columbus Blue Jackets,2,,15951,02:29:00 AM,
2016-04-04,Tampa Bay Lightning,2,New York Islanders,5,,13106,02:25:00 AM,
2016-04-04,Arizona Coyotes,2,St. Louis Blues,5,,19465,02:30:00 AM,
2016-04-04,Florida Panthers,4,Toronto Maple Leafs,3,,18846,02:50:00 AM,
2016-04-04,Los Angeles Kings,2,Vancouver Canucks,3,,18415,02:24:00 AM,
2016-04-05,Winnipeg Jets,2,Anaheim Ducks,1,OT,16743,02:32:00 AM,
2016-04-05,Carolina Hurricanes,2,Boston Bruins,1,SO,17565,02:40:00 AM,
2016-04-05,Los Angeles Kings,5,Calgary Flames,4,OT,18438,02:33:00 AM,
2016-04-05,Arizona Coyotes,2,Chicago Blackhawks,6,,21884,02:22:00 AM,
2016-04-05,San Jose Sharks,3,Minnesota Wild,0,,19061,02:21:00 AM,
2016-04-05,Florida Panthers,4,Montreal Canadiens,1,,21288,02:22:00 AM,
2016-04-05,Buffalo Sabres,3,New Jersey Devils,1,,14773,02:24:00 AM,
2016-04-05,Colorado Avalanche,3,Nashville Predators,4,,17113,02:35:00 AM,
2016-04-05,Tampa Bay Lightning,2,New York Rangers,3,,18006,02:30:00 AM,
2016-04-05,Pittsburgh Penguins,5,Ottawa Senators,3,,19284,02:28:00 AM,
2016-04-05,New York Islanders,4,Washington Capitals,3,OT,18506,02:33:00 AM,
2016-04-06,Philadelphia Flyers,0,Detroit Red Wings,3,,20027,02:44:00 AM,
2016-04-06,Vancouver Canucks,2,Edmonton Oilers,6,,16839,02:31:00 AM,
2016-04-06,Columbus Blue Jackets,5,Toronto Maple Leafs,1,,18837,02:23:00 AM,
2016-04-07,Detroit Red Wings,2,Boston Bruins,5,,17565,02:28:00 AM,
2016-04-07,Montreal Canadiens,4,Carolina Hurricanes,2,,15120,02:27:00 AM,
2016-04-07,Vancouver Canucks,3,Calgary Flames,7,,19289,02:23:00 AM,
2016-04-07,St. Louis Blues,2,Chicago Blackhawks,1,OT,22075,02:31:00 AM,
2016-04-07,Colorado Avalanche,2,Dallas Stars,4,,18532,02:27:00 AM,
2016-04-07,Anaheim Ducks,1,Los Angeles Kings,2,,18511,02:39:00 AM,
2016-04-07,Tampa Bay Lightning,4,New Jersey Devils,2,,15536,02:24:00 AM,
2016-04-07,Arizona Coyotes,2,Nashville Predators,3,OT,17113,02:32:00 AM,
2016-04-07,New York Islanders,4,New York Rangers,1,,18006,02:20:00 AM,
2016-04-07,Florida Panthers,1,Ottawa Senators,3,,19165,02:26:00 AM,
2016-04-07,Toronto Maple Leafs,4,Philadelphia Flyers,3,OT,19674,02:42:00 AM,
2016-04-07,Winnipeg Jets,5,San Jose Sharks,4,,15900,02:26:00 AM,
2016-04-07,Pittsburgh Penguins,4,Washington Capitals,3,OT,18506,02:37:00 AM,
2016-04-08,Columbus Blue Jackets,4,Buffalo Sabres,1,,19070,02:20:00 AM,
2016-04-09,Ottawa Senators,6,Boston Bruins,1,,17565,02:37:00 AM,
2016-04-09,Chicago Blackhawks,4,Columbus Blue Jackets,5,OT,19177,02:31:00 AM,
2016-04-09,Anaheim Ducks,5,Colorado Avalanche,3,,17932,02:27:00 AM,
2016-04-09,Nashville Predators,2,Dallas Stars,3,,18532,02:29:00 AM,
2016-04-09,Carolina Hurricanes,2,Florida Panthers,5,,18434,02:24:00 AM,
2016-04-09,Winnipeg Jets,4,Los Angeles Kings,3,SO,18449,02:46:00 AM,
2016-04-09,Calgary Flames,2,Minnesota Wild,1,,19247,02:26:00 AM,
2016-04-09,Tampa Bay Lightning,2,Montreal Canadiens,5,,21288,02:35:00 AM,
2016-04-09,Toronto Maple Leafs,1,New Jersey Devils,5,,16514,02:19:00 AM,
2016-04-09,Buffalo Sabres,4,New York Islanders,3,OT,14811,02:29:00 AM,
2016-04-09,Detroit Red Wings,2,New York Rangers,3,,18006,02:31:00 AM,
2016-04-09,Pittsburgh Penguins,1,Philadelphia Flyers,3,,19919,02:35:00 AM,
2016-04-09,Arizona Coyotes,0,San Jose Sharks,1,,17562,02:19:00 AM,
2016-04-09,Washington Capitals,5,St. Louis Blues,1,,19610,02:23:00 AM,
2016-04-09,Edmonton Oilers,3,Vancouver Canucks,4,SO,18570,02:52:00 AM,
2016-04-10,Philadelphia Flyers,5,New York Islanders,2,,14244,02:18:00 AM,
2016-04-10,Anaheim Ducks,2,Washington Capitals,0,,18506,02:22:00 AM, 
2016-10-12,St. Louis Blues,5,Chicago Blackhawks,2,,21729,02:29:00 AM,
2016-10-12,Calgary Flames,4,Edmonton Oilers,7,,18347,02:35:00 AM,
2016-10-12,Toronto Maple Leafs,4,Ottawa Senators,5,OT,17618,02:36:00 AM,
2016-10-12,Los Angeles Kings,1,San Jose Sharks,2,,17562,02:29:00 AM,
2016-10-13,Montreal Canadiens,4,Buffalo Sabres,1,,19070,02:44:00 AM,
2016-10-13,Boston Bruins,6,Columbus Blue Jackets,3,,18144,02:29:00 AM,
2016-10-13,Anaheim Ducks,2,Dallas Stars,4,,18532,02:30:00 AM,
2016-10-13,New Jersey Devils,1,Florida Panthers,2,OT,17128,02:36:00 AM,
2016-10-13,New York Islanders,3,New York Rangers,5,,18200,02:29:00 AM,
2016-10-13,Washington Capitals,2,Pittsburgh Penguins,3,SO,18630,02:50:00 AM,
2016-10-13,Minnesota Wild,2,St. Louis Blues,3,,19673,02:29:00 AM,
2016-10-13,Detroit Red Wings,4,Tampa Bay Lightning,6,,19092,02:47:00 AM,
2016-10-13,Carolina Hurricanes,4,Winnipeg Jets,5,OT,15296,02:32:00 AM,
2016-10-14,Edmonton Oilers,5,Calgary Flames,3,,19289,02:28:00 AM,
2016-10-14,Philadelphia Flyers,4,Los Angeles Kings,2,,18453,02:31:00 AM,
2016-10-14,Chicago Blackhawks,2,Nashville Predators,3,,17256,02:35:00 AM,
2016-10-15,Philadelphia Flyers,3,Arizona Coyotes,4,OT,17125,02:39:00 AM,
2016-10-15,San Jose Sharks,3,Columbus Blue Jackets,2,,16546,02:24:00 AM,
2016-10-15,Nashville Predators,3,Chicago Blackhawks,5,,21665,02:29:00 AM,
2016-10-15,Dallas Stars,5,Colorado Avalanche,6,,18007,02:38:00 AM,
2016-10-15,Detroit Red Wings,1,Florida Panthers,4,,16868,02:35:00 AM,
2016-10-15,Winnipeg Jets,3,Minnesota Wild,4,,19024,02:41:00 AM,
2016-10-15,Montreal Canadiens,3,Ottawa Senators,4,SO,18195,02:44:00 AM,
2016-10-15,Anaheim Ducks,2,Pittsburgh Penguins,3,,18452,02:38:00 AM,
2016-10-15,New York Rangers,2,St. Louis Blues,3,,19197,02:24:00 AM,
2016-10-15,New Jersey Devils,2,Tampa Bay Lightning,3,,19092,02:36:00 AM,
2016-10-15,Boston Bruins,1,Toronto Maple Leafs,4,,19466,02:23:00 AM,
2016-10-15,Calgary Flames,1,Vancouver Canucks,2,SO,18865,02:42:00 AM,
2016-10-15,New York Islanders,1,Washington Capitals,2,,18506,02:25:00 AM,
2016-10-16,Buffalo Sabres,6,Edmonton Oilers,2,,18347,02:39:00 AM,
2016-10-16,Anaheim Ducks,2,New York Islanders,3,OT,15795,02:37:00 AM,
2016-10-16,Carolina Hurricanes,3,Vancouver Canucks,4,OT,17832,02:25:00 AM,
2016-10-17,Ottawa Senators,1,Detroit Red Wings,5,,20027,02:33:00 AM,
2016-10-17,San Jose Sharks,4,New York Rangers,7,,18200,02:32:00 AM,
2016-10-17,Colorado Avalanche,4,Pittsburgh Penguins,3,OT,18431,02:41:00 AM,
2016-10-17,Boston Bruins,4,Winnipeg Jets,1,,15296,02:36:00 AM,
2016-10-18,Buffalo Sabres,3,Calgary Flames,4,OT,19289,02:35:00 AM,
2016-10-18,Philadelphia Flyers,4,Chicago Blackhawks,7,,21263,02:26:00 AM,
2016-10-18,Carolina Hurricanes,2,Edmonton Oilers,3,,18347,02:30:00 AM,
2016-10-18,Los Angeles Kings,3,Minnesota Wild,6,,18644,02:40:00 AM,
2016-10-18,Pittsburgh Penguins,0,Montreal Canadiens,4,,21288,02:47:00 AM,
2016-10-18,Anaheim Ducks,1,New Jersey Devils,2,,16514,02:37:00 AM,
2016-10-18,Dallas Stars,2,Nashville Predators,1,,17113,02:29:00 AM,
2016-10-18,San Jose Sharks,3,New York Islanders,2,,10772,02:34:00 AM,
2016-10-18,Arizona Coyotes,4,Ottawa Senators,7,,11061,02:43:00 AM,
2016-10-18,Florida Panthers,3,Tampa Bay Lightning,4,SO,19092,02:50:00 AM,
2016-10-18,St. Louis Blues,1,Vancouver Canucks,2,OT,17568,02:28:00 AM,
2016-10-18,Colorado Avalanche,0,Washington Capitals,3,,18506,02:29:00 AM,
2016-10-19,Detroit Red Wings,2,New York Rangers,1,,18200,02:28:00 AM,
2016-10-19,Toronto Maple Leafs,4,Winnipeg Jets,5,OT,15294,02:36:00 AM,
2016-10-20,New Jersey Devils,1,Boston Bruins,2,,17565,02:37:00 AM,
2016-10-20,Carolina Hurricanes,4,Calgary Flames,2,,17652,02:29:00 AM,
2016-10-20,Los Angeles Kings,4,Dallas Stars,3,OT,18532,02:45:00 AM,
2016-10-20,St. Louis Blues,1,Edmonton Oilers,3,,18347,02:30:00 AM,
2016-10-20,Washington Capitals,4,Florida Panthers,2,,12440,02:27:00 AM,
2016-10-20,Toronto Maple Leafs,2,Minnesota Wild,3,,18968,02:36:00 AM,
2016-10-20,Arizona Coyotes,2,Montreal Canadiens,5,,21288,02:33:00 AM,
2016-10-20,Anaheim Ducks,3,Philadelphia Flyers,2,,19982,02:23:00 AM,
2016-10-20,San Jose Sharks,2,Pittsburgh Penguins,3,,18511,02:31:00 AM,
2016-10-20,Colorado Avalanche,4,Tampa Bay Lightning,0,,19092,02:27:00 AM,
2016-10-20,Buffalo Sabres,1,Vancouver Canucks,2,,17809,02:35:00 AM,
2016-10-21,Chicago Blackhawks,2,Columbus Blue Jackets,3,,15789,02:27:00 AM,
2016-10-21,Nashville Predators,3,Detroit Red Wings,5,,20027,02:34:00 AM,
2016-10-21,Arizona Coyotes,2,New York Islanders,3,,13076,02:38:00 AM,
2016-10-22,Montreal Canadiens,4,Boston Bruins,2,,17565,02:36:00 AM,
2016-10-22,St. Louis Blues,6,Calgary Flames,4,,18076,02:33:00 AM,
2016-10-22,Toronto Maple Leafs,4,Chicago Blackhawks,5,SO,21735,02:51:00 AM,
2016-10-22,Columbus Blue Jackets,3,Dallas Stars,0,,18532,02:30:00 AM,
2016-10-22,San Jose Sharks,0,Detroit Red Wings,3,,20027,02:27:00 AM,
2016-10-22,Colorado Avalanche,2,Florida Panthers,5,,14326,02:32:00 AM,
2016-10-22,Vancouver Canucks,3,Los Angeles Kings,4,SO,18230,02:51:00 AM,
2016-10-22,Minnesota Wild,1,New Jersey Devils,2,OT,16514,02:36:00 AM,
2016-10-22,Pittsburgh Penguins,1,Nashville Predators,5,,17113,02:31:00 AM,
2016-10-22,Tampa Bay Lightning,4,Ottawa Senators,1,,15918,02:30:00 AM,
2016-10-22,Carolina Hurricanes,3,Philadelphia Flyers,6,,19668,02:36:00 AM,
2016-10-22,New York Rangers,4,Washington Capitals,2,,18506,02:20:00 AM,
2016-10-23,Vancouver Canucks,2,Anaheim Ducks,4,,17174,02:29:00 AM,
2016-10-23,Minnesota Wild,3,New York Islanders,6,,11583,02:30:00 AM,
2016-10-23,Arizona Coyotes,2,New York Rangers,3,,18006,02:26:00 AM,
2016-10-23,Edmonton Oilers,3,Winnipeg Jets,0,,33240,02:30:00 AM,NHL Heritage Classic
2016-10-24,Calgary Flames,3,Chicago Blackhawks,2,SO,21348,02:51:00 AM,
2016-10-24,Philadelphia Flyers,1,Montreal Canadiens,3,,21288,02:27:00 AM,
2016-10-25,Minnesota Wild,5,Boston Bruins,0,,17565,02:32:00 AM,
2016-10-25,Winnipeg Jets,2,Dallas Stars,3,,18040,02:37:00 AM,
2016-10-25,Carolina Hurricanes,2,Detroit Red Wings,4,,20027,02:24:00 AM,
2016-10-25,Columbus Blue Jackets,2,Los Angeles Kings,3,OT,18230,02:23:00 AM,
2016-10-25,Arizona Coyotes,3,New Jersey Devils,5,,12756,02:30:00 AM,
2016-10-25,Buffalo Sabres,3,Philadelphia Flyers,4,SO,19209,02:50:00 AM,
2016-10-25,Florida Panthers,2,Pittsburgh Penguins,3,,18434,02:20:00 AM,
2016-10-25,Anaheim Ducks,1,San Jose Sharks,2,OT,17562,02:36:00 AM,
2016-10-25,Calgary Flames,4,St. Louis Blues,1,,17337,02:25:00 AM,
2016-10-25,Tampa Bay Lightning,7,Toronto Maple Leafs,3,,19449,02:42:00 AM,
2016-10-25,Ottawa Senators,3,Vancouver Canucks,0,,18471,02:24:00 AM,
2016-10-26,Nashville Predators,1,Anaheim Ducks,6,,15421,02:36:00 AM,
2016-10-26,Washington Capitals,1,Edmonton Oilers,4,,18347,02:30:00 AM,
2016-10-26,Montreal Canadiens,3,New York Islanders,2,,12194,02:33:00 AM,
2016-10-26,Boston Bruins,2,New York Rangers,5,,18006,02:31:00 AM,
2016-10-27,Minnesota Wild,4,Buffalo Sabres,0,,18122,02:28:00 AM,
2016-10-27,Nashville Predators,2,Los Angeles Kings,3,OT,18230,02:49:00 AM,
2016-10-27,Tampa Bay Lightning,1,Montreal Canadiens,3,,21288,02:32:00 AM,
2016-10-27,Arizona Coyotes,5,Philadelphia Flyers,4,,19432,02:39:00 AM,
2016-10-27,New York Islanders,2,Pittsburgh Penguins,4,,18422,02:35:00 AM,
2016-10-27,Columbus Blue Jackets,1,San Jose Sharks,3,,17229,02:30:00 AM,
2016-10-27,Detroit Red Wings,2,St. Louis Blues,1,SO,19229,02:47:00 AM,
2016-10-27,Florida Panthers,2,Toronto Maple Leafs,3,,18979,02:26:00 AM,
2016-10-27,Dallas Stars,1,Winnipeg Jets,4,,15294,02:31:00 AM,
2016-10-28,Columbus Blue Jackets,4,Anaheim Ducks,0,,15841,02:32:00 AM,
2016-10-28,New York Rangers,2,Carolina Hurricanes,3,,18680,02:21:00 AM,
2016-10-28,Ottawa Senators,2,Calgary Flames,5,,18132,02:36:00 AM,
2016-10-28,Winnipeg Jets,1,Colorado Avalanche,0,,16135,02:24:00 AM,
2016-10-28,Chicago Blackhawks,3,New Jersey Devils,2,OT,13882,02:30:00 AM,
2016-10-28,Edmonton Oilers,2,Vancouver Canucks,0,,18865,02:24:00 AM,
2016-10-29,Colorado Avalanche,3,Arizona Coyotes,2,,13533,02:26:00 AM,
2016-10-29,Florida Panthers,0,Buffalo Sabres,3,,18261,02:34:00 AM,
2016-10-29,Boston Bruins,1,Detroit Red Wings,0,,20027,02:45:00 AM,
2016-10-29,Dallas Stars,0,Minnesota Wild,4,,19031,02:28:00 AM,
2016-10-29,Toronto Maple Leafs,1,Montreal Canadiens,2,,21288,02:28:00 AM,
2016-10-29,Tampa Bay Lightning,1,New Jersey Devils,3,,13098,02:30:00 AM,
2016-10-29,Pittsburgh Penguins,5,Philadelphia Flyers,4,,19927,02:41:00 AM,
2016-10-29,Nashville Predators,1,San Jose Sharks,4,,17562,02:28:00 AM,
2016-10-29,Los Angeles Kings,0,St. Louis Blues,1,,18631,02:26:00 AM,
2016-10-29,Washington Capitals,5,Vancouver Canucks,2,,18338,02:36:00 AM,
2016-10-30,Philadelphia Flyers,4,Carolina Hurricanes,3,,10353,02:28:00 AM,
2016-10-30,Washington Capitals,3,Calgary Flames,1,,18454,02:25:00 AM,
2016-10-30,Los Angeles Kings,0,Chicago Blackhawks,3,,21329,02:23:00 AM,
2016-10-30,Florida Panthers,5,Detroit Red Wings,2,,20027,02:24:00 AM,
2016-10-30,Ottawa Senators,2,Edmonton Oilers,0,,18347,02:29:00 AM,
2016-10-30,Toronto Maple Leafs,1,New York Islanders,5,,12057,02:32:00 AM,
2016-10-30,Tampa Bay Lightning,1,New York Rangers,6,,18006,02:36:00 AM,
2016-10-30,Buffalo Sabres,3,Winnipeg Jets,1,,15294,02:30:00 AM,
2016-11-01,San Jose Sharks,2,Arizona Coyotes,3,,11046,02:36:00 AM,
2016-11-01,Dallas Stars,2,Columbus Blue Jackets,3,OT,10141,02:27:00 AM,
2016-11-01,Calgary Flames,1,Chicago Blackhawks,5,,21166,02:23:00 AM,
2016-11-01,Nashville Predators,5,Colorado Avalanche,1,,12142,02:26:00 AM,
2016-11-01,Boston Bruins,2,Florida Panthers,1,,13808,02:44:00 AM,
2016-11-01,Anaheim Ducks,4,Los Angeles Kings,0,,18230,02:39:00 AM,
2016-11-01,Buffalo Sabres,2,Minnesota Wild,1,,18864,02:28:00 AM,
2016-11-01,Tampa Bay Lightning,6,New York Islanders,1,,10822,02:28:00 AM,
2016-11-01,St. Louis Blues,0,New York Rangers,5,,18006,02:30:00 AM,
2016-11-01,Carolina Hurricanes,1,Ottawa Senators,2,OT,13049,02:40:00 AM,
2016-11-01,Edmonton Oilers,2,Toronto Maple Leafs,3,OT,19687,02:34:00 AM,
2016-11-01,Washington Capitals,3,Winnipeg Jets,2,,15294,02:35:00 AM,
2016-11-02,Pittsburgh Penguins,5,Anaheim Ducks,1,,15543,02:33:00 AM,
2016-11-02,Vancouver Canucks,0,Montreal Canadiens,3,,21288,02:28:00 AM,
2016-11-02,Detroit Red Wings,3,Philadelphia Flyers,4,OT,19309,02:32:00 AM,
2016-11-03,Nashville Predators,2,Arizona Coyotes,3,SO,10745,02:40:00 AM,
2016-11-03,Toronto Maple Leafs,2,Buffalo Sabres,1,,18183,02:35:00 AM,
2016-11-03,Colorado Avalanche,0,Chicago Blackhawks,4,,21580,02:25:00 AM,
2016-11-03,St. Louis Blues,2,Dallas Stars,6,,18532,02:40:00 AM,
2016-11-03,New Jersey Devils,3,Florida Panthers,4,OT,11597,02:37:00 AM,
